"Species","HabitatForereef","HabitatFringing","COTS","Max_DHW","Cyclone1","Cyclone2","Cyclone3","Land_Dist","Depth_Mean_100m","Depth_Mean_500m","Curvature_Mean_100m","Curvature_Mean_500m","Coral_Mean_Cover","Macroalgae_Mean_Cover","CTB_Mean_Cover","Random: site","Random: year"
"Canthigaster.valentini",0.22,0.42,0.01,0.01,0,0,0,0.04,0.17,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.01
"Caracanthus.maculatus",0.05,0.23,0,0,0,0,0,0.15,0.42,0.02,0.01,0.03,0.02,0,0.01,0.03,0
"Caracanthus.unipinna",0.1,0.1,0.01,0,0,0,0,0.18,0.21,0.03,0.02,0.08,0.01,0.01,0.02,0.02,0.21
"Caranx.melampygus",0.21,0.04,0.01,0.01,0,0,0,0.07,0.11,0.03,0.03,0.04,0.04,0.02,0.03,0.04,0.3
"Cephalopholis.argus",0.4,0.05,0,0,0,0,0,0.05,0.04,0.02,0.09,0.2,0.01,0.05,0.02,0.06,0.01
"Cephalopholis.urodeta",0.42,0.07,0,0,0,0,0,0.04,0.29,0.04,0.02,0.06,0.01,0.02,0.01,0,0.01
"Chaetodon.auriga",0.09,0.3,0.01,0,0,0,0,0.24,0.07,0.02,0.03,0.03,0.02,0.02,0.02,0.09,0.04
"Chaetodon.citrinellus",0.41,0.06,0,0,0,0,0,0.03,0.25,0.06,0.01,0.02,0.03,0.07,0.04,0,0.01
"Chaetodon.ephippium",0.13,0.04,0.01,0.01,0,0,0,0.15,0.06,0.03,0.1,0.26,0.01,0.01,0.01,0.14,0.04
"Chaetodon.lunula",0.03,0.3,0,0.01,0,0,0,0.34,0.04,0.05,0.09,0.09,0.01,0.02,0.01,0.01,0
"Chaetodon.lunulatus",0.24,0.11,0.01,0.01,0,0,0,0.14,0.08,0.02,0.07,0.06,0.01,0.1,0.05,0.06,0.03
"Chaetodon.ornatissimus",0.14,0.05,0,0.02,0,0,0,0.11,0.04,0.04,0.02,0.06,0.07,0.07,0.07,0.29,0.02
"Chaetodon.pelewensis",0.27,0.02,0.01,0.01,0,0,0,0.11,0.34,0.03,0.01,0.11,0.01,0.04,0.03,0.01,0.01
"Chaetodon.quadrimaculatus",0.47,0.05,0,0.01,0,0,0,0.06,0.21,0.03,0.02,0.08,0.01,0.03,0.02,0,0
"Chaetodon.reticulatus",0.07,0.03,0.03,0.04,0,0,0,0.13,0.24,0.07,0.02,0.14,0.01,0.07,0.03,0.1,0.01
"Chaetodon.trifascialis",0.24,0.08,0.01,0.01,0,0,0,0.04,0.11,0.06,0.05,0.05,0.01,0.02,0.01,0.24,0.08
"Chaetodon.ulietensis",0.24,0.09,0,0.01,0,0,0,0.1,0.02,0.01,0.2,0.18,0,0.01,0.01,0.12,0.01
"Chaetodon.unimaculatus",0.05,0.07,0,0.01,0,0,0,0.06,0.12,0.03,0.02,0.08,0.01,0.06,0.06,0.33,0.1
