"Species","Habitat type","COTS abundance","Maximum DHW","Cyclone exposure","Distance to land","Depth","Curvature","Benthic cover","Random: site","Random: year"
"Pycnochromis.margaritifer",0.52,0,0,0,0.14,0.08,0.07,0.04,0.13,0.01
"Pycnochromis.vanderbilti",0.77,0,0,0,0.03,0.08,0.07,0.02,0.01,0.01
"Pygoplites.diacanthus",0.32,0,0,0,0.18,0.14,0.16,0.01,0.19,0
"Rhinecanthus.aculeatus",0.06,0,0,0,0.05,0.59,0.09,0.01,0.19,0
"Sargocentron.microstoma",0.35,0.01,0.01,0,0.04,0.04,0.2,0.02,0.16,0.16
"Sargocentron.spiniferum",0.31,0.01,0.01,0.01,0.06,0.22,0.27,0.04,0.07,0.02
"Scarus.altipinnis",0.59,0,0.01,0.01,0.03,0.07,0.06,0.06,0.11,0.06
"Scarus.forsteni",0.52,0.01,0.01,0.01,0.05,0.18,0.09,0.04,0.01,0.09
"Scarus.frenatus",0.29,0.01,0,0.01,0.05,0.06,0.03,0.1,0.31,0.14
"Scarus.globiceps",0.05,0.02,0.01,0,0.28,0.05,0.09,0.02,0.02,0.46
"Scarus.niger",0.67,0,0,0,0.04,0.05,0.03,0.02,0.15,0.03
"Scarus.oviceps",0.06,0,0,0,0.09,0.21,0.03,0.01,0.58,0.01
"Scarus.rubroviolaceus",0.1,0,0.02,0.01,0.07,0.24,0.1,0.13,0.03,0.31
"Scarus.schlegeli",0.17,0.04,0.06,0.01,0.04,0.21,0.12,0.08,0.03,0.22
"Siganus.argenteus",0.19,0.01,0.02,0.02,0.08,0.13,0.07,0.05,0.22,0.21
"Siganus.spinus",0.16,0.01,0.02,0,0.08,0.51,0.15,0.04,0.01,0.02
"Stegastes.nigricans",0.43,0,0.01,0,0.21,0.21,0.06,0.06,0.01,0.01
"Stethojulis.bandanensis",0.38,0.02,0,0.01,0.12,0.17,0.2,0.02,0.05,0.03
"Sufflamen.bursa",0.57,0,0,0,0.03,0.05,0.29,0.03,0.01,0
"Synodus.binotatus",0.15,0.02,0.03,0.02,0.38,0.1,0.09,0.07,0.08,0.05
"Thalassoma.amblycephalum",0.27,0.01,0.01,0.01,0.26,0.16,0.11,0.03,0.09,0.05
"Thalassoma.hardwicke",0.67,0,0,0,0.03,0.22,0.04,0.01,0.02,0.02
"Thalassoma.lutescens",0.31,0.01,0,0,0.05,0.41,0.11,0.02,0.08,0.02
"Thalassoma.quinquevittatum",0.12,0,0,0,0.53,0.14,0.14,0.02,0.03,0.01
"Valenciennea.strigata",0.48,0.02,0.01,0.01,0.09,0.1,0.13,0.08,0.04,0.04
"Zanclus.cornutus",0.56,0.01,0.02,0.01,0.06,0.07,0.07,0.1,0.06,0.03
"Zebrasoma.velifer",0.11,0,0,0.01,0.21,0.31,0.12,0.05,0.07,0.12
